1,36
2,35
3,34
4,33
5,32
6,31
7,30
8,29
9,28
10,27
11,26
12,25
13,24
14,23
15,22
16,21
17,20
18,19
1,2,34
1,3,33
1,4,32
1,5,31
1,6,30
1,7,29
1,8,28
1,9,27
1,10,26
1,11,25
1,12,24
1,13,23
1,14,22
1,15,21
1,16,20
1,17,19
2,3,32
2,4,31
2,5,30
2,6,29
2,7,28
2,8,27
2,9,26
2,10,25
2,11,24
2,12,23
2,13,22
2,14,21
2,15,20
2,16,19
2,17,18
3,4,30
3,5,29
3,6,28
3,7,27
3,8,26
3,9,25
3,10,24
3,11,23
3,12,22
3,13,21
3,14,20
3,15,19
3,16,18
4,5,28
4,6,27
4,7,26
4,8,25
4,9,24
4,10,23
4,11,22
4,12,21
4,13,20
4,14,19
4,15,18
4,16,17
5,6,26
5,7,25
5,8,24
5,9,23
5,10,22
5,11,21
5,12,20
5,13,19
5,14,18
5,15,17
6,7,24
6,8,23
6,9,22
6,10,21
6,11,20
6,12,19
6,13,18
6,14,17
6,15,16
7,8,22
7,9,21
7,10,20
7,11,19
7,12,18
7,13,17
7,14,16
8,9,20
8,10,19
8,11,18
8,12,17
8,13,16
8,14,15
9,10,18
9,11,17
9,12,16
9,13,15
10,11,16
10,12,15
10,13,14
11,12,14
1,2,3,31
1,2,4,30
1,2,5,29
1,2,6,28
1,2,7,27
1,2,8,26
1,2,9,25
1,2,10,24
1,2,11,23
1,2,12,22
1,2,13,21
1,2,14,20
1,2,15,19
1,2,16,18
1,3,4,29
1,3,5,28
1,3,6,27
1,3,7,26
1,3,8,25
1,3,9,24
1,3,10,23
1,3,11,22
1,3,12,21
1,3,13,20
1,3,14,19
1,3,15,18
1,3,16,17
1,4,5,27
1,4,6,26
1,4,7,25
1,4,8,24
1,4,9,23
1,4,10,22
1,4,11,21
1,4,12,20
1,4,13,19
1,4,14,18
1,4,15,17
1,5,6,25
1,5,7,24
1,5,8,23
1,5,9,22
1,5,10,21
1,5,11,20
1,5,12,19
1,5,13,18
1,5,14,17
1,5,15,16
1,6,7,23
1,6,8,22
1,6,9,21
1,6,10,20
1,6,11,19
1,6,12,18
1,6,13,17
1,6,14,16
1,7,8,21
